"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",72.283218,,
"BEL","Belgium","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",65.156082,,
"CAN","Canada","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",88.262909,,
"CZE","Czech Republic","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",87.115463,,
"DNK","Denmark","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.887962,,
"FIN","Finland","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.920982,,
"FRA","France","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",65.207817,,
"DEU","Germany","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",83.974075,,
"GRC","Greece","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",54.08374,,
"HUN","Hungary","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",76.400528,,
"ISL","Iceland","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",65.450417,,
"IRL","Ireland","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",71.46022,,
"ITA","Italy","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",50.067684,,
