GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0400000US01,01,Alabama,46655,771,22201,469,1565,166,1961,236,1595,222,1044,149,769,205,2059,252,2025,186,1894,170,3650,174,2707,248,1671,186,918,182,275,97,68,52,24454,550,1573,184,2116,269,1388,200,817,165,699,186,1749,194,2219,232,2181,183,4082,218,3301,217,2694,270,1212,214,356,101,67,52
0400000US02,02,Alaska,31878,759,15227,613,944,172,996,147,1085,161,662,142,496,109,1287,224,1160,203,1019,178,2503,292,2641,284,1421,161,678,110,200,102,135,58,16651,432,711,163,949,175,1188,176,549,86,384,103,1246,192,1143,142,1152,107,3126,179,2552,156,2017,175,1028,140,407,97,199,81
0400000US04,04,Arizona,153301,1532,72335,1010,5665,349,5095,425,4678,380,2606,254,1625,151,5284,358,7245,309,7930,237,13319,263,8710,304,5229,182,3297,156,1184,193,468,183,80966,932,5599,360,5196,377,4579,385,2292,211,1507,232,4674,292,7623,257,8266,261,15114,272,10996,307,7811,197,4341,196,2573,247,395,179
0400000US05,05,Arkansas,31120,739,14399,480,1151,174,1082,218,1064,176,540,111,772,230,963,256,1436,241,1441,171,2446,190,1699,136,1154,159,439,89,164,65,48,35,16721,570,1576,232,1236,230,1047,174,761,149,477,187,1284,288,1352,209,1599,164,2654,200,2166,164,1566,203,533,146,360,128,110,79
0400000US06,06,California,4473292,8057,2146539,4557,138840,1529,129912,1814,136867,2053,86807,930,56506,730,146176,997,177973,1083,184758,806,352927,1129,310319,770,214730,629,121398,418,68888,730,20438,711,2326753,4624,129714,1510,121879,1885,130948,1964,81718,732,53478,634,144095,1047,187607,1003,196592,837,387013,1100,355675,925,252726,658,150733,490,99582,1235,34993,1218
0400000US08,08,Colorado,125336,1552,57794,980,4287,340,4142,324,3350,306,1963,193,1833,216,4331,303,4956,208,6214,364,11170,297,7518,271,4371,156,2245,145,1009,138,405,123,67542,881,4618,331,4974,375,3353,286,2304,167,1503,177,5124,356,5925,218,6631,308,12004,274,9121,209,6085,217,3279,124,2123,174,498,114
0400000US09,09,Connecticut,117515,904,58333,631,4884,270,4088,365,3794,386,2113,122,1841,144,4082,193,4928,156,6176,122,11215,154,7593,146,4249,123,2353,117,872,98,145,78,59182,494,4681,210,4606,389,3759,317,1800,162,1786,174,3996,198,4996,187,6148,166,11626,176,7492,162,4599,118,2400,108,1058,115,235,93
0400000US10,10,Delaware,25084,440,12419,333,1196,117,1028,183,645,151,394,50,272,80,759,86,1294,95,1402,54,2193,128,1527,114,921,73,530,77,207,58,51,48,12665,239,1055,121,958,155,767,152,425,47,198,36,657,70,1215,72,1267,39,2295,86,1549,56,1207,39,700,51,277,90,95,63
0400000US11,11,District of Columbia,17439,383,7693,253,355,115,277,153,402,169,97,77,344,125,681,147,969,83,1169,79,1409,48,839,62,614,47,349,24,177,15,11,15,9746,260,320,119,452,116,241,132,252,87,555,133,1063,161,1101,186,1465,74,1685,52,922,17,897,60,442,29,240,48,111,48
