GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0400000US01,01,Alabama,52668,796,24689,589,1946,208,1871,257,1727,233,990,188,918,254,2173,301,2487,274,2291,242,4438,308,2855,252,1703,145,1017,158,220,103,53,41,27979,579,1751,207,2329,270,1580,272,729,142,806,194,2146,246,2731,227,2777,241,4638,217,3764,249,2873,191,1321,203,514,154,20,23
0400000US02,02,Alaska,35912,744,16749,520,1099,153,1233,172,1044,169,859,124,635,119,1243,178,1282,216,1118,189,2772,233,2473,248,1810,183,819,103,244,75,118,76,19163,587,874,139,1087,174,1379,195,880,138,469,109,1205,157,1232,157,1270,184,3255,225,3176,276,2496,192,1146,128,523,71,171,64
0400000US04,04,Arizona,172290,2198,80926,1426,5836,413,5320,477,5086,497,3048,265,2416,203,7160,446,7687,350,7752,314,14912,399,10096,360,6207,201,3664,168,1390,128,352,119,91364,1159,4954,374,5842,510,4905,425,2849,213,2195,250,5582,362,8368,290,8697,292,17184,377,12500,310,9809,253,5265,203,2764,175,450,150
0400000US05,05,Arkansas,34815,851,16170,572,1246,161,1240,234,1089,222,727,163,853,238,1197,250,1608,247,1680,203,2721,184,1787,185,1330,170,506,93,123,61,63,47,18645,638,1381,220,1421,274,1251,233,610,128,512,152,1585,265,2037,253,1699,157,3142,265,2313,191,1629,161,672,146,363,115,30,42
0400000US06,06,California,4825271,8812,2286419,5371,133989,1490,138584,2079,141451,1954,93840,924,67167,697,174463,1359,183214,1175,176267,872,363271,1311,332514,1144,246602,758,137999,504,74348,1000,22710,973,2538852,4883,128632,1386,131806,1919,135388,2020,88015,1036,63737,679,171824,1101,198083,1068,200564,883,416539,1171,387642,1042,300421,792,170964,587,105544,1211,39693,1125
0400000US08,08,Colorado,134228,1499,60473,977,3991,341,4419,368,3897,358,2157,236,1738,295,4839,430,5548,271,5945,343,10706,365,8043,297,5015,203,2527,142,1098,162,550,153,73755,1023,4528,312,5304,404,4058,388,2652,236,1699,198,5245,323,6589,260,6550,249,13260,361,10177,265,7054,219,3758,166,2306,192,575,116
0400000US09,09,Connecticut,134108,1201,64598,759,5171,257,4558,368,4683,330,2392,156,2000,193,4596,218,6035,249,6619,201,11930,213,8081,151,4872,191,2622,141,944,111,95,67,69510,708,5353,250,5175,347,4637,308,2343,176,1838,219,4554,253,6808,186,7293,164,13145,204,8596,196,5557,149,2781,97,1205,117,225,86
0400000US10,10,Delaware,28726,430,14019,329,1242,102,974,150,704,132,604,119,476,168,1027,107,1308,136,1482,75,2423,100,1704,94,1054,76,735,74,205,69,81,51,14707,278,1048,101,1102,147,745,145,340,122,395,51,914,118,1610,98,1468,58,2613,145,1812,118,1431,50,835,79,287,66,107,77
0400000US11,11,District of Columbia,20773,418,8832,255,296,92,171,114,235,101,122,60,396,158,1291,192,1416,112,1346,104,1611,82,820,41,598,26,307,43,178,34,45,34,11941,282,263,89,299,82,219,94,178,61,749,244,1734,243,2041,147,1753,108,1866,109,1090,29,906,55,500,22,180,56,163,51
0400000US12,12,Florida,455403,3184,211010,2083,13391,671,14251,754,12723,730,8531,496,6136,413,16844,618,17312,465,17743,507,36409,765,28822,560,21260,346,12318,336,4228,326,1042,209,244393,1689,12961,494,15036,721,13811,624,7896,434,5496,391,16675,655,20060,517,21243,446,43425,596,36863,540,27776,333,15413,383,6423,329,1315,254
0400000US13,13,Georgia,308677,2081,149641,1252,10891,387,11577,656,10053,644,5987,329,5260,395,11976,439,12383,429,12715,378,28542,531,19978,453,12123,363,5952,262,1795,280,409,143,159036,1313,10663,453,11527,622,9445,617,5926,286,4127,339,11065,405,13982,418,15205,375,30314,475,22119,419,14191,380,7005,349,2714,233,753,162
0400000US15,15,Hawaii,524274,4376,244212,2435,9623,534,10276,626,12631,689,8965,471,5152,363,13012,658,14648,588,13655,502,33211,830,40143,769,36218,517,22767,363,16259,550,7652,530,280062,2477,9601,615,10013,680,11439,680,8097,429,4527,329,12931,526,15221,537,15102,505,39827,654,45330,617,41496,559,28241,380,25724,634,12513,592
0400000US16,16,Idaho,18714,775,8194,502,593,129,496,180,568,151,458,119,165,81,854,191,868,193,748,122,1106,136,1055,143,598,86,407,120,235,81,43,28,10520,530,542,139,748,182,636,196,323,72,409,124,707,162,954,177,896,147,1847,164,1546,211,998,138,593,132,234,87,87,50
0400000US17,17,Illinois,583302,2309,281007,1331,19833,468,18372,780,16625,720,10151,268,8043,291,22576,519,26391,447,26885,376,47355,450,34767,323,27788,256,15268,273,5602,248,1351,215,302295,1530,19622,516,19155,791,17111,685,9575,300,7047,261,21725,400,28567,446,29293,395,51011,484,39237,368,32598,267,17366,266,7583,311,2405,289
0400000US18,18,Indiana,99194,1095,47544,790,3499,302,3323,359,3124,323,1611,213,2269,256,6410,350,4746,283,4482,218,7691,376,5221,327,2729,168,1812,189,520,119,107,63,51650,783,3940,271,3805,307,3300,297,1875,216,1759,236,5295,398,4596,298,4895,285,9087,358,5753,301,4272,257,1905,233,990,177,178,86
0400000US19,19,Iowa,52881,738,25341,541,1815,169,1736,256,1632,239,1154,205,1044,215,3222,292,2901,229,2425,245,4277,272,2387,239,1663,157,840,121,212,71,33,29,27540,563,2141,217,2455,288,1614,231,812,182,1115,245,3575,259,2815,198,2526,202,4355,224,2608,216,1992,217,1070,163,345,76,117,61
0400000US20,20,Kansas,67532,1042,31780,641,2590,198,2592,269,1858,226,1071,178,1061,173,3170,280,3464,256,2905,212,5453,248,3694,173,2282,164,1328,141,267,67,45,35,35752,712,2723,260,2476,274,2360,277,1281,118,902,228,3177,300,3948,267,3273,230,6185,282,4006,230,3276,195,1336,121,655,132,154,72
0400000US21,21,Kentucky,47754,821,21933,579,1680,167,1723,251,1603,238,1041,198,671,152,2087,229,1904,186,1986,227,4337,237,2598,171,1272,150,768,108,225,63,38,37,25821,598,1859,195,2473,247,1698,305,841,151,658,184,2053,306,2322,241,2566,273,4807,321,2933,244,2155,184,1005,127,386,104,65,53
0400000US22,22,Louisiana,69355,931,34702,738,2584,298,2345,303,1997,243,1363,221,1071,196,3320,308,3726,260,3093,262,5334,328,4693,292,3060,218,1515,132,445,90,156,93,34653,536,2048,195,2153,259,1869,287,1274,201,889,184,3067,212,3396,273,3155,325,6076,388,4580,265,3697,238,1499,199,798,154,152,81
0400000US23,23,Maine,13745,507,6021,349,314,99,492,131,526,125,299,125,317,112,550,172,524,128,319,122,1089,126,799,95,397,142,218,97,168,96,9,14,7724,315,341,117,554,136,804,147,295,105,290,98,539,134,671,141,554,93,1359,142,1131,149,651,124,424,95,102,80,9,13
0400000US24,24,Maryland,312883,1833,149232,1037,10900,310,9861,505,9466,495,5645,250,4098,286,10627,359,11731,271,12900,217,25342,282,21010,308,14920,204,8703,179,3135,192,894,139,163651,1086,9684,413,10046,604,9273,618,5176,205,3950,458,10011,466,13417,285,15342,243,29340,410,24561,307,17686,185,9523,154,4285,259,1357,233
0400000US25,25,Massachusetts,345422,1691,165857,1087,12245,447,11206,672,9444,587,5997,214,5970,269,15995,301,16382,285,16045,256,28758,361,20479,235,12524,181,6745,159,3217,231,850,198,179565,973,11531,420,11610,571,9467,600,5954,229,6830,275,17523,327,18736,307,18225,268,30638,289,21853,233,14174,179,7711,150,3957,261,1356,235
0400000US26,26,Michigan,244623,1541,118915,1012,8913,326,9815,530,8665,482,4605,256,4961,386,10674,553,9554,248,10664,309,20798,294,13842,302,9053,197,5100,179,1776,154,495,117,125708,889,8374,357,10611,476,8259,440,4771,239,3815,236,10497,291,10857,336,12417,261,21940,377,14717,262,10921,217,5399,148,2508,213,622,133
0400000US27,27,Minnesota,208315,1610,100930,1049,9323,340,9503,450,8302,467,5529,208,4260,253,10470,375,10012,502,8875,251,15513,256,9413,275,5501,147,2890,158,1047,107,292,85,107385,933,9379,384,9615,455,8640,417,5139,209,4072,243,10383,292,11139,350,10080,239,16199,296,10326,283,6816,170,3409,178,1535,191,653,148
0400000US28,28,Mississippi,25807,672,12515,599,860,189,942,170,925,210,484,180,348,107,1469,280,1086,246,929,226,1913,265,1717,240,1207,215,399,135,189,88,47,37,13292,414,571,157,977,243,746,190,434,119,304,134,1128,232,1246,226,939,139,2451,261,1832,244,1537,233,660,145,383,111,84,57
0400000US29,29,Missouri,93632,1333,44292,818,3076,279,3224,362,2450,304,1409,172,1880,274,4503,331,4457,217,4629,225,8005,294,4673,285,3190,154,1967,164,696,117,133,78,49340,880,3211,260,3421,334,2873,306,1582,191,1658,249,4464,346,4810,284,5043,255,8613,277,5597,216,4667,183,2133,158,1011,170,257,110
0400000US30,30,Montana,5999,405,2109,252,72,55,71,47,121,62,128,70,120,69,243,127,200,103,328,134,314,90,184,68,230,88,74,44,17,19,7,11,3890,281,104,61,199,93,194,74,198,76,213,94,510,176,225,87,347,143,593,124,568,130,403,92,195,80,61,67,80,52
0400000US31,31,Nebraska,30637,639,15012,363,1143,143,1154,177,1115,176,786,92,747,151,1527,202,1473,114,1400,121,2515,154,1388,88,1105,93,528,78,86,55,45,47,15625,462,1111,179,1201,161,958,171,486,89,344,108,1427,204,1790,119,1434,122,2738,159,1819,145,1481,114,629,102,138,54,69,41
0400000US32,32,Nevada,190079,1975,85967,1247,4892,403,5703,477,5066,488,3474,202,2278,163,6131,337,6902,341,7099,269,14021,291,12351,300,9492,279,5866,129,2076,158,616,148,104112,1112,4678,385,4822,490,5367,558,3390,188,2073,156,6352,258,8161,339,8327,298,17654,375,16898,267,14102,316,8058,175,3548,182,682,159
