GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 to 24 years,Margin of Error; Male: - 20 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 44 years,Margin of Error; Male: - 35 to 44 years,Estimate; Male: - 45 to 54 years,Margin of Error; Male: - 45 to 54 years,Estimate; Male: - 55 to 64 years,Margin of Error; Male: - 55 to 64 years,Estimate; Male: - 65 to 74 years,Margin of Error; Male: - 65 to 74 years,Estimate; Male: - 75 to 84 years,Margin of Error; Male: - 75 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 to 24 years,Margin of Error; Female: - 20 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 44 years,Margin of Error; Female: - 35 to 44 years,Estimate; Female: - 45 to 54 years,Margin of Error; Female: - 45 to 54 years,Estimate; Female: - 55 to 64 years,Margin of Error; Female: - 55 to 64 years,Estimate; Female: - 65 to 74 years,Margin of Error; Female: - 65 to 74 years,Estimate; Female: - 75 to 84 years,Margin of Error; Female: - 75 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
0400000US01,01,Alabama,56831,1047,26489,722,1773,163,2152,327,1861,294,1045,205,926,187,2171,220,2480,339,2542,213,5032,287,3205,161,1903,154,1042,164,306,89,51,33,30342,653,1842,223,2441,283,1761,253,1142,220,775,168,2329,266,2632,249,2730,260,5528,282,3735,265,3080,185,1674,212,552,130,121,96
0400000US02,02,Alaska,39200,1057,18624,635,1193,164,1307,209,1388,226,909,99,637,110,1569,186,1533,231,1190,164,2849,222,2736,203,1998,164,937,111,206,86,172,82,20576,649,990,153,1256,230,1411,205,1001,92,409,109,1333,129,1420,208,1431,179,3209,182,3233,180,2742,164,1315,104,648,85,178,70
0400000US04,04,Arizona,182953,1694,85399,1106,5700,382,5500,440,5504,515,3025,264,2416,210,7732,443,7575,242,8008,339,15901,377,10735,267,7040,193,4098,154,1826,139,339,93,97554,1109,5107,378,5903,555,5226,429,3243,265,2267,159,6053,340,8058,334,9030,390,18468,327,13589,335,10776,229,6084,187,3166,213,584,158
0400000US05,05,Arkansas,37776,798,17462,545,1456,190,1341,237,958,171,695,166,524,158,1738,272,1838,142,1716,193,2893,215,1936,197,1476,192,660,122,212,105,19,26,20314,560,1332,234,1604,225,1203,265,696,186,577,187,1899,296,2017,198,2057,192,3433,230,2363,183,2021,187,785,144,318,121,9,15
0400000US06,06,California,5005635,6912,2367249,4324,133796,1496,142476,2251,141626,2254,91981,906,65103,704,180682,1236,188515,1013,181057,1091,371101,1257,341080,1113,270391,831,152603,506,80844,909,25994,892,2638386,4215,128554,1535,137149,1884,134724,1998,86426,799,62578,739,177014,1074,197377,1097,207781,922,429051,1172,397676,1136,331137,709,188846,638,113377,1220,46696,1141
0400000US08,08,Colorado,141719,1867,63760,1072,4047,296,4403,398,4424,389,2172,234,1692,198,5165,411,5902,336,6032,301,11075,365,8661,314,5562,181,2855,139,1284,121,486,111,77959,1093,4481,303,5325,389,5138,426,2642,243,1960,243,5068,306,6764,311,6719,373,13519,386,10936,279,8083,197,4119,152,2604,191,601,149
0400000US09,09,Connecticut,141709,1302,67915,797,5211,249,4862,353,4680,357,2502,176,2010,194,4831,221,6324,215,6675,230,12424,242,8778,207,5556,210,2774,154,1139,127,149,105,73794,726,5282,275,4988,415,5094,404,2679,162,2024,190,4718,229,6991,171,7545,151,13998,168,9374,226,6265,152,3097,100,1431,137,308,100
0400000US10,10,Delaware,30422,551,14511,348,1108,129,1058,162,807,135,532,60,397,81,1091,92,1236,133,1568,91,2587,127,1739,114,1219,96,792,99,316,70,61,42,15911,344,1077,95,1092,149,769,141,518,57,388,39,1199,121,1599,58,1648,108,2664,127,1969,89,1558,40,960,81,359,69,111,72
0400000US11,11,District of Columbia,21845,525,9137,326,297,86,257,119,152,84,110,63,424,50,1086,129,1580,124,1438,112,1867,103,794,75,631,46,312,45,140,47,49,40,12708,335,338,86,240,86,231,77,170,61,626,175,1697,245,2252,134,2048,122,2227,91,1069,68,957,49,476,57,187,60,190,61
0400000US12,12,Florida,475905,2760,219603,1736,12996,497,14121,776,13400,733,8721,426,6669,421,17390,662,17247,480,17820,520,37824,656,30357,477,22893,356,13358,330,5460,307,1347,245,256302,1589,12940,592,14967,781,14189,704,7584,341,5258,373,17188,607,19912,494,21289,467,45709,569,38119,514,31395,457,18220,405,7260,406,2272,327
