REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS,2020_officials_map_#,2020_officials_map_Name,2020_officials_map_Level,2020_officials_map_Body Type,2020_officials_map_tl_2018_us_state_REGION,2020_officials_map_tl_2018_us_state_DIVISION,2020_officials_map_tl_2018_us_state_STATEFP,2020_officials_map_tl_2018_us_state_STATENS,2020_officials_map_tl_2018_us_state_GEOID,2020_officials_map_tl_2018_us_state_NAME,2020_officials_map_tl_2018_us_state_LSAD,2020_officials_map_tl_2018_us_state_MTFCC,2020_officials_map_tl_2018_us_state_FUNCSTAT,2020_officials_map_tl_2018_us_state_ALAND,2020_officials_map_tl_2018_us_state_AWATER,2020_officials_map_tl_2018_us_state_INTPTLAT,2020_officials_map_tl_2018_us_state_INTPTLON
"3","5","54","01779805","54",WV,West Virginia,"00",G4000,A,"62266474513","489028543","+38.6472854","-080.6183274","0",,,,,,,,,,,,,,,,,
"3","5","12","00294478","12",FL,Florida,"00",G4000,A,"138949136250","31361101223","+28.4574302","-082.4091477","5","731",Tommy Hazouri,Local,City Council,"3","5","12","294478","12",Florida,"0",G4000,A,"138949136250","31361101223",28.4574302,-82.4091477
"2","3","17","01779784","17",IL,Illinois,"00",G4000,A,"143780567633","6214824948","+40.1028754","-089.1526108","6","552",Theresa Mah,State,State House,"2","3","17","1779784","17",Illinois,"0",G4000,A,"143780567633","6214824948",40.1028754,-89.1526108
"2","4","27","00662849","27",MN,Minnesota,"00",G4000,A,"206228939448","18945217189","+46.3159573","-094.1996043","13","557",Fue Lee,State,State House,"2","4","27","662849","27",Minnesota,"0",G4000,A,"206228939448","18945217189",46.3159573,-94.1996043
"3","5","24","01714934","24",MD,Maryland,"00",G4000,A,"25151100280","6979966958","+38.9466584","-076.6744939","14","790",Rose Maria Li,State,School District,"3","5","24","1714934","24",Maryland,"0",G4000,A,"25151100280","6979966958",38.9466584,-76.6744939
"1","1","44","01219835","44",RI,Rhode Island,"00",G4000,A,"2677779902","1323670487","+41.5974187","-071.5272723","1","471",Allan Fung,Local,City Council,"1","1","44","1219835","44",Rhode Island,"0",G4000,A,"2677779902","1323670487",41.5974187,-71.5272723
"4","8","16","01779783","16",ID,Idaho,"00",G4000,A,"214049787659","2391722557","+44.3484222","-114.5588538","3","759",Marc Shigeta,Local,County Council,"4","8","16","1779783","16",Idaho,"0",G4000,A,"214049787659","2391722557",44.3484222,-114.5588538
"1","1","33","01779794","33",NH,New Hampshire,"00",G4000,A,"23189413166","1026675248","+43.6726907","-071.5843145","3","560",SafiyaWazir,State,State House,"1","1","33","1779794","33",New Hampshire,"0",G4000,A,"23189413166","1026675248",43.6726907,-71.5843145
"3","5","37","01027616","37",NC,North Carolina,"00",G4000,A,"125923656064","13466071395","+35.5397100","-079.1308636","6","779",Dimple Ajmera,Local,,"3","5","37","1027616","37",North Carolina,"0",G4000,A,"125923656064","13466071395",35.53971,-79.1308636
"1","1","50","01779802","50",VT,Vermont,"00",G4000,A,"23874175944","1030416650","+44.0685773","-072.6691839","0",,,,,,,,,,,,,,,,,
"1","1","09","01779780","09",CT,Connecticut,"00",G4000,A,"12542497068","1815617571","+41.5798637","-072.7466572","3","544",Dr. Saud Anwar,State,State Senate,"1","1","9","1779780","9",Connecticut,"0",G4000,A,"12542497068","1815617571",41.5798637,-72.7466572
"3","5","10","01779781","10",DE,Delaware,"00",G4000,A,"5045925646","1399985648","+38.9985661","-075.4416440","0",,,,,,,,,,,,,,,,,
"4","8","35","00897535","35",NM,New Mexico,"00",G4000,A,"314196306401","728776523","+34.4346843","-106.1316181","1","439",Ken Miyagishima,Local,City Council,"4","8","35","897535","35",New Mexico,"0",G4000,A,"314196306401","728776523",34.4346843,-106.1316181
"4","9","06","01779778","06",CA,California,"00",G4000,A,"403503931312","20463871877","+37.1551773","-119.5434183","358","781",Dr. Ting Sun,State,School District,"4","9","6","1779778","6",California,"0",G4000,A,"403503931312","20463871877",37.1551773,-119.5434183
"1","2","34","01779795","34",NJ,New Jersey,"00",G4000,A,"19047825980","3544860246","+40.1072744","-074.6652012","52","792",Gurbir Grewal,State,,"1","2","34","1779795","34",New Jersey,"0",G4000,A,"19047825980","3544860246",40.1072744,-74.6652012
"2","3","55","01779806","55",WI,Wisconsin,"00",G4000,A,"140290039723","29344951758","+44.6309071","-089.7093916","10","834",Jamie Kuhn,Local,County Council,"2","3","55","1779806","55",Wisconsin,"0",G4000,A,"140290039723","29344951758",44.6309071,-89.7093916
"4","9","41","01155107","41",OR,Oregon,"00",G4000,A,"248606993270","6192386935","+43.9717125","-120.6229578","6","533",Tya Ping,Local,,"4","9","41","1155107","41",Oregon,"0",G4000,A,"248606993270","6192386935",43.9717125,-120.6229578
"2","4","31","01779792","31",NE,Nebraska,"00",G4000,A,"198956658395","1371829134","+41.5433053","-099.8118646","0",,,,,,,,,,,,,,,,,
"1","2","42","01779798","42",PA,Pennsylvania,"00",G4000,A,"115884442321","3394589990","+40.9024957","-077.8334514","4","470",David Oh,Local,City Council,"1","2","42","1779798","42",Pennsylvania,"0",G4000,A,"115884442321","3394589990",40.9024957,-77.8334514
"4","9","53","01779804","53",WA,Washington,"00",G4000,A,"172112588220","12559278850","+47.4073238","-120.5757999","35","771",Myron Huie,Local,City Council,"4","9","53","1779804","53",Washington,"0",G4000,A,"172112588220","12559278850",47.4073238,-120.5757999
"3","7","22","01629543","22",LA,Louisiana,"00",G4000,A,"111897594374","23753621895","+30.8634368","-091.7987173","2","763","Larry Sorapuru, Jr.",Local,City Council,"3","7","22","1629543","22",Louisiana,"0",G4000,A,"111897594374","23753621895",30.8634368,-91.7987173
"3","5","13","01705317","13",GA,Georgia,"00",G4000,A,"149482048342","4422936154","+32.6295789","-083.4235109","5","546",Sam Park,State,State House,"3","5","13","1705317","13",Georgia,"0",G4000,A,"149482048342","4422936154",32.6295789,-83.4235109
"3","6","01","01779775","01",AL,Alabama,"00",G4000,A,"131174048583","4593327154","+32.7396323","-086.8434593","0",,,,,,,,,,,,,,,,,
"4","8","49","01455989","49",UT,Utah,"00",G4000,A,"212886221680","6998824394","+39.3349925","-111.6563326","5","562",Karen Kwan,State,State House,"4","8","49","1455989","49",Utah,"0",G4000,A,"212886221680","6998824394",39.3349925,-111.6563326
