State,Name,2014,2015,2016,2017,2018
Alabama,AL,0,0,0,0,0
Alaska,AK,0,0,0,0,0
Arizona,AZ,0,0,0,0,0
Arkansas,AR,0,0,0,0,0
California,CA,0,0,0,0,0
Colorado,CO,0,0,0,0,0
Connecticut,CT,0,0,0,0,0
Delaware,DE,0,0,0,0,0
Florida,FL,0,0,0,0,0
Georgia,GA,0,0,0,0,0
Hawaii,HI,0,0,0,0,0
Idaho,ID,0,0,0,0,0
Illinois,IL,0,0,0,0,0
Indiana,IN,0,0,0,0,0
Iowa,IA,0,0,0,0,0
Kansas,KS,0,0,0,0,0
Kentucky,KY,0,0,0,0,0
Louisiana,LA,0,0,0,0,0
Maine,ME,0,0,0,0,0
Maryland,MD,0,0,0,0,0
Massachusetts,MA,0,0,0,0,0
Michigan,MI,0,0,0,0,0
Minnesota,MN,0,0,0,0,0
Mississippi,MS,0,0,0,0,0
Missouri,MO,0,0,0,0,0
Montana,MT,0,0,0,0,0
Nebraska,NE,0,0,0,0,0
Nevada,NV,0,0,0,0,0
New Hampshire,NH,0,0,0,0,0
New Jersey,NJ,0,0,0,0,0
New Mexico,NM,0,0,0,0,0
New York,NY,0,0,0,0,0
North Carolina,NC,0,0,0,0,0
North Dakota,ND,0,0,0,0,0
Ohio,OH,0,0,0,0,0
Oklahoma,OK,0,0,0,0,0
Oregon,OR,0,0,0,0,0
Pennsylvania,PA,0,0,0,0,0
Rhode Island,RI,0,0,0,0,0
South Carolina,SC,0,0,0,0,0
South Dakota,SD,0,0,0,0,0
Tennessee,TN,0,0,0,0,0
Texas,TX,0,0,0,0,0
Utah,UT,0,0,0,0,0
Vermont,VT,0,0,0,0,0
Virginia,VA,0,0,0,0,0
Washington,WA,0,0,0,0,0
West Virginia,WV,0,0,0,0,0
Wisconsin,WI,0,0,0,0,0
Wyoming,WY,0,0,0,0,0
